instant,date_day,season,year,month,holiday,weekday,workingday,weathersit,temp_day,atemp,humidity_day,windspeed_day,casual_day,registered_day,total_rentals_day,casual_ratio,registered_ratio,total_rentals_agg,casual_agg,registered_agg,temp_agg,humidity_agg,windspeed_agg,hour
28,2011-01-28,spring,2011,January,No Holiday,Friday,Working Day,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,0.032562125107112254,0.9674378748928878,1167,38,1129,0.2034782608695652,0.7930434782608696,0.1233,0
29,2011-01-29,spring,2011,January,No Holiday,Saturday,Non-Working Day,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,0.11202185792349727,0.8879781420765027,1098,123,975,0.19652173913043477,0.6517391304347826,0.14536521739130434,0
30,2011-01-30,spring,2011,January,No Holiday,Sunday,Non-Working Day,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,0.12773722627737227,0.8722627737226277,1096,140,956,0.2165217391304348,0.7221739130434782,0.07398260869565218,0
31,2011-01-31,spring,2011,January,No Holiday,Monday,Working Day,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,0.02798134576948701,0.972018654230513,1501,42,1459,0.18083333333333332,0.60375,0.18719166666666667,0
32,2011-02-01,spring,2011,February,No Holiday,Tuesday,Working Day,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,0.03455882352941177,0.9654411764705882,1360,47,1313,0.19217391304347825,0.8295652173913044,0.05321304347826087,0
33,2011-02-02,spring,2011,February,No Holiday,Wednesday,Working Day,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,0.047182175622542594,0.9528178243774574,1526,72,1454,0.26,0.7754166666666666,0.2643083333333333,0
34,2011-02-03,spring,2011,February,No Holiday,Thursday,Working Day,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,0.03935483870967742,0.9606451612903226,1550,61,1489,0.18695652173913044,0.43782608695652175,0.27775217391304347,0
35,2011-02-04,spring,2011,February,No Holiday,Friday,Working Day,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,0.05152224824355972,0.9484777517564403,1708,88,1620,0.21130434782608698,0.5852173913043479,0.12783913043478262,0
36,2011-02-05,spring,2011,February,No Holiday,Saturday,Non-Working Day,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,0.09950248756218906,0.900497512437811,1005,100,905,0.2333333333333333,0.9291666666666667,0.16107916666666666,0
37,2011-02-06,spring,2011,February,No Holiday,Sunday,Non-Working Day,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,0.21811460258780038,0.7818853974121996,1623,354,1269,0.28583333333333333,0.5683333333333334,0.1418,0
38,2011-02-07,spring,2011,February,No Holiday,Monday,Working Day,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,0.07009345794392523,0.9299065420560748,1712,120,1592,0.27166666666666667,0.7383333333333333,0.045408333333333335,0
39,2011-02-08,spring,2011,February,No Holiday,Tuesday,Working Day,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,0.04183006535947712,0.9581699346405229,1530,64,1466,0.22083333333333333,0.5379166666666667,0.36195,0
40,2011-02-09,spring,2011,February,No Holiday,Wednesday,Working Day,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,0.03302180685358255,0.9669781931464174,1605,53,1552,0.13478260869565217,0.4947826086956522,0.18883913043478262,0
41,2011-02-10,spring,2011,February,No Holiday,Thursday,Working Day,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,0.0305591677503251,0.9694408322496749,1538,47,1491,0.14434782608695654,0.4373913043478261,0.22193478260869565,0
42,2011-02-11,spring,2011,February,No Holiday,Friday,Working Day,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,0.08533791523482245,0.9146620847651775,1746,149,1597,0.1890909090909091,0.5063636363636363,0.10855000000000001,0
43,2011-02-12,spring,2011,February,No Holiday,Saturday,Non-Working Day,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,0.1956521739130435,0.8043478260869565,1472,288,1184,0.2225,0.5441666666666667,0.20336666666666667,0
44,2011-02-13,spring,2011,February,No Holiday,Sunday,Non-Working Day,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,0.24984266834487098,0.750157331655129,1589,397,1192,0.3165217391304348,0.45739130434782604,0.26088260869565216,0
45,2011-02-14,spring,2011,February,No Holiday,Monday,Working Day,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,0.10872974385781495,0.891270256142185,1913,208,1705,0.41500000000000004,0.3758333333333333,0.4179083333333333,0
46,2011-02-15,spring,2011,February,No Holiday,Tuesday,Working Day,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,0.07713498622589532,0.9228650137741047,1815,140,1675,0.26608695652173914,0.31434782608695655,0.29137391304347826,0
47,2011-02-16,spring,2011,February,No Holiday,Wednesday,Working Day,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,0.10307328605200945,0.8969267139479905,2115,218,1897,0.31826086956521743,0.42347826086956525,0.2517913043478261,0
48,2011-02-17,spring,2011,February,No Holiday,Thursday,Working Day,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,0.10464646464646464,0.8953535353535353,2475,259,2216,0.43583333333333335,0.505,0.23010416666666667,0
49,2011-02-18,spring,2011,February,No Holiday,Friday,Working Day,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,0.19781346088144858,0.8021865391185514,2927,579,2348,0.5216666666666666,0.5166666666666667,0.264925,0
50,2011-02-19,spring,2011,February,No Holiday,Saturday,Non-Working Day,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,0.3253822629969419,0.674617737003058,1635,532,1103,0.39916666666666667,0.18791666666666665,0.5074625,0
51,2011-02-20,spring,2011,February,No Holiday,Sunday,Non-Working Day,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,0.3526490066225166,0.6473509933774835,1812,639,1173,0.28521739130434787,0.40782608695652167,0.22323478260869567,0
52,2011-02-21,spring,2011,February,Holiday,Monday,Non-Working Day,2,0.303333,0.284075,0.605,0.307846,195,912,1107,0.17615176151761516,0.8238482384823849,1107,195,912,0.30333333333333334,0.605,0.3078458333333333,0
53,2011-02-22,spring,2011,February,No Holiday,Tuesday,Working Day,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,0.05103448275862069,0.9489655172413793,1450,74,1376,0.18222222222222223,0.5777777777777778,0.19568333333333332,0
54,2011-02-23,spring,2011,February,No Holiday,Wednesday,Working Day,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,0.07250912884715702,0.927490871152843,1917,139,1778,0.2217391304347826,0.4230434782608696,0.09411304347826087,0
55,2011-02-24,spring,2011,February,No Holiday,Thursday,Working Day,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,0.05534034311012728,0.9446596568898727,1807,100,1707,0.2956521739130435,0.697391304347826,0.25049565217391306,0
56,2011-02-25,spring,2011,February,No Holiday,Friday,Working Day,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,0.08213552361396304,0.917864476386037,1461,120,1341,0.36434782608695654,0.7121739130434782,0.34653913043478257,0
57,2011-02-26,spring,2011,February,No Holiday,Saturday,Non-Working Day,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,0.21533773489080751,0.7846622651091925,1969,424,1545,0.28250000000000003,0.5379166666666667,0.18657083333333335,0
58,2011-02-27,spring,2011,February,No Holiday,Sunday,Non-Working Day,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,0.28892589508742716,0.7110741049125728,2402,694,1708,0.34347826086956523,0.68,0.12524782608695653,0
59,2011-02-28,spring,2011,February,No Holiday,Monday,Working Day,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,0.056016597510373446,0.9439834024896265,1446,81,1365,0.4072727272727273,0.8763636363636365,0.28968636363636363,0
60,2011-03-01,spring,2011,March,No Holiday,Tuesday,Working Day,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,0.07401404646137223,0.9259859535386278,1851,137,1714,0.26666666666666666,0.535,0.216425,0
61,2011-03-02,spring,2011,March,No Holiday,Wednesday,Working Day,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,0.10824742268041238,0.8917525773195877,2134,231,1903,0.335,0.4495833333333333,0.30783333333333335,0
62,2011-03-03,spring,2011,March,No Holiday,Thursday,Working Day,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,0.07299703264094956,0.9270029673590504,1685,123,1562,0.19833333333333333,0.3183333333333333,0.22575416666666667,0
63,2011-03-04,spring,2011,March,No Holiday,Friday,Working Day,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,0.11008230452674897,0.8899176954732511,1944,214,1730,0.26166666666666666,0.6104166666666667,0.20334583333333334,0
64,2011-03-05,spring,2011,March,No Holiday,Saturday,Non-Working Day,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,0.30813673567645644,0.6918632643235436,2077,640,1437,0.3841666666666667,0.7891666666666667,0.2518708333333333,0
65,2011-03-06,spring,2011,March,No Holiday,Sunday,Non-Working Day,2,0.376522,0.366252,0.948261,0.343287,114,491,605,0.1884297520661157,0.8115702479338843,605,114,491,0.3765217391304348,0.9482608695652174,0.34328695652173913,0
66,2011-03-07,spring,2011,March,No Holiday,Monday,Working Day,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,0.13034188034188035,0.8696581196581197,1872,244,1628,0.26173913043478264,0.551304347826087,0.34135217391304346,0
67,2011-03-08,spring,2011,March,No Holiday,Tuesday,Working Day,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,0.14814814814814814,0.8518518518518519,2133,316,1817,0.2925,0.42083333333333334,0.12065,0
68,2011-03-09,spring,2011,March,No Holiday,Wednesday,Working Day,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,0.10100475938656796,0.8989952406134321,1891,191,1700,0.29583333333333334,0.7754166666666666,0.22014999999999998,0
69,2011-03-10,spring,2011,March,No Holiday,Thursday,Working Day,3,0.389091,0.385668,0.0,0.261877,46,577,623,0.0738362760834671,0.9261637239165329,623,46,577,0.3890909090909091,0.0,0.26187727272727274,0
70,2011-03-11,spring,2011,March,No Holiday,Friday,Working Day,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,0.12493677288821446,0.8750632271117855,1977,247,1730,0.3165217391304348,0.6495652173913044,0.2329695652173913,0
71,2011-03-12,spring,2011,March,No Holiday,Saturday,Non-Working Day,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,0.3395872420262664,0.6604127579737336,2132,724,1408,0.32916666666666666,0.5945833333333334,0.22077500000000003,0
72,2011-03-13,spring,2011,March,No Holiday,Sunday,Non-Working Day,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,0.4062887877534133,0.5937112122465866,2417,982,1435,0.3843478260869565,0.5273913043478261,0.270604347826087,0
73,2011-03-14,spring,2011,March,No Holiday,Monday,Working Day,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,0.17546432062561096,0.8245356793743891,2046,359,1687,0.32521739130434785,0.4969565217391304,0.13692608695652173,0
74,2011-03-15,spring,2011,March,No Holiday,Tuesday,Working Day,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,0.14056420233463035,0.8594357976653697,2056,289,1767,0.3173913043478261,0.6556521739130435,0.18430869565217395,0
75,2011-03-16,spring,2011,March,No Holiday,Wednesday,Working Day,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,0.14644160583941607,0.853558394160584,2192,321,1871,0.3652173913043478,0.7765217391304348,0.2031173913043478,0
76,2011-03-17,spring,2011,March,No Holiday,Thursday,Working Day,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,0.15451895043731778,0.8454810495626822,2744,424,2320,0.41500000000000004,0.6029166666666667,0.20957916666666665,0
77,2011-03-18,spring,2011,March,No Holiday,Friday,Working Day,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,0.27292374189564683,0.7270762581043532,3239,884,2355,0.54,0.5252173913043479,0.2310173913043478,0
78,2011-03-19,spring,2011,March,No Holiday,Saturday,Non-Working Day,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,0.45684953480911134,0.5431504651908887,3117,1424,1693,0.4725,0.37916666666666665,0.3681666666666667,0
79,2011-03-20,spring,2011,March,No Holiday,Sunday,Non-Working Day,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,0.4237150951031971,0.576284904896803,2471,1047,1424,0.3325,0.47375000000000006,0.20772083333333335,0
80,2011-03-21,summer,2011,March,No Holiday,Monday,Working Day,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,0.19306692344727974,0.8069330765527203,2077,401,1676,0.43043478260869567,0.7373913043478261,0.2887826086956522,0
81,2011-03-22,summer,2011,March,No Holiday,Tuesday,Working Day,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,0.1701812800591935,0.8298187199408065,2703,460,2243,0.44166666666666665,0.6245833333333334,0.22575,0
82,2011-03-23,summer,2011,March,No Holiday,Wednesday,Working Day,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,0.09570957095709572,0.9042904290429042,2121,203,1918,0.34695652173913044,0.8395652173913043,0.23426086956521738,0
83,2011-03-24,summer,2011,March,No Holiday,Thursday,Working Day,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,0.08900804289544235,0.9109919571045576,1865,166,1699,0.285,0.8058333333333333,0.24378750000000002,0
84,2011-03-25,summer,2011,March,No Holiday,Friday,Working Day,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,0.13574660633484162,0.8642533936651584,2210,300,1910,0.26416666666666666,0.49499999999999994,0.23072499999999999,0
85,2011-03-26,summer,2011,March,No Holiday,Saturday,Non-Working Day,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,0.39302884615384615,0.6069711538461539,2496,981,1515,0.2658333333333333,0.3941666666666667,0.20957083333333335,0
86,2011-03-27,summer,2011,March,No Holiday,Sunday,Non-Working Day,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,0.27879503839338454,0.7212049616066155,1693,472,1221,0.2530434782608696,0.49391304347826087,0.1843,0
87,2011-03-28,summer,2011,March,No Holiday,Monday,Working Day,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,0.10946745562130178,0.8905325443786982,2028,222,1806,0.2643478260869565,0.3021739130434783,0.21220434782608696,0
88,2011-03-29,summer,2011,March,No Holiday,Tuesday,Working Day,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,0.13072164948453607,0.8692783505154639,2425,317,2108,0.3025,0.31416666666666665,0.2269958333333333,0
89,2011-03-30,summer,2011,March,No Holiday,Wednesday,Working Day,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,0.109375,0.890625,1536,168,1368,0.3,0.6466666666666666,0.1728875,0
90,2011-03-31,summer,2011,March,No Holiday,Thursday,Working Day,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,0.10623145400593471,0.8937685459940653,1685,179,1506,0.26833333333333337,0.9183333333333333,0.21764583333333332,0
91,2011-04-01,summer,2011,April,No Holiday,Friday,Working Day,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,0.13785361472833407,0.8621463852716659,2227,307,1920,0.3,0.6862499999999999,0.2587083333333334,0
92,2011-04-02,summer,2011,April,No Holiday,Saturday,Non-Working Day,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,0.3987566607460036,0.6012433392539964,2252,898,1354,0.315,0.6537499999999999,0.19714583333333335,0
93,2011-04-03,summer,2011,April,No Holiday,Sunday,Non-Working Day,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0.5081563558017852,0.49184364419821486,3249,1651,1598,0.37833333333333335,0.48,0.1822125,0
94,2011-04-04,summer,2011,April,No Holiday,Monday,Working Day,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,0.23563402889245585,0.7643659711075441,3115,734,2381,0.5733333333333334,0.42625,0.38557083333333336,0
95,2011-04-05,summer,2011,April,No Holiday,Tuesday,Working Day,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,0.09303621169916435,0.9069637883008357,1795,167,1628,0.4141666666666666,0.6420833333333333,0.3880666666666666,0
96,2011-04-06,summer,2011,April,No Holiday,Wednesday,Working Day,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,0.14707977207977208,0.8529202279202279,2808,413,2395,0.39083333333333337,0.47083333333333327,0.26306250000000003,0
97,2011-04-07,summer,2011,April,No Holiday,Thursday,Working Day,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,0.18178923909582936,0.8182107609041707,3141,571,2570,0.4375,0.6029166666666667,0.1623125,0
98,2011-04-08,summer,2011,April,No Holiday,Friday,Working Day,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,0.11692726036709722,0.8830727396329028,1471,172,1299,0.3358333333333334,0.83625,0.22699166666666667,0
99,2011-04-09,summer,2011,April,No Holiday,Saturday,Non-Working Day,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,0.35804480651731163,0.6419551934826884,2455,879,1576,0.3425,0.8775,0.13308333333333333,0
100,2011-04-10,summer,2011,April,No Holiday,Sunday,Non-Working Day,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,0.41036269430051814,0.5896373056994819,2895,1188,1707,0.4266666666666667,0.8574999999999999,0.14676666666666668,0
101,2011-04-11,summer,2011,April,No Holiday,Monday,Working Day,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,0.2553763440860215,0.7446236559139785,3348,855,2493,0.5956521739130435,0.7169565217391304,0.3244739130434783,0
102,2011-04-12,summer,2011,April,No Holiday,Tuesday,Working Day,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,0.1263520157325467,0.8736479842674533,2034,257,1777,0.5025000000000001,0.7391666666666666,0.2748791666666667,0
103,2011-04-13,summer,2011,April,No Holiday,Wednesday,Working Day,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,0.09666975023126735,0.9033302497687327,2162,209,1953,0.41250000000000003,0.8191666666666667,0.25061666666666665,0
104,2011-04-14,summer,2011,April,No Holiday,Thursday,Working Day,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,0.16192225283134373,0.8380777471686562,3267,529,2738,0.4675,0.5404166666666667,0.1107,0
105,2011-04-15,summer,2011,April,Holiday,Friday,Non-Working Day,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,0.2053742802303263,0.7946257197696737,3126,642,2484,0.4466666666666667,0.67125,0.226375,0
106,2011-04-16,summer,2011,April,No Holiday,Saturday,Non-Working Day,3,0.430833,0.425492,0.888333,0.340808,121,674,795,0.15220125786163521,0.8477987421383648,795,121,674,0.43083333333333335,0.8883333333333333,0.3408083333333333,0
107,2011-04-17,summer,2011,April,No Holiday,Sunday,Non-Working Day,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,0.41613247863247865,0.5838675213675214,3744,1558,2186,0.4566666666666667,0.4795833333333333,0.30349583333333335,0
108,2011-04-18,summer,2011,April,No Holiday,Monday,Working Day,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,0.19510061242344706,0.8048993875765529,3429,669,2760,0.5125000000000001,0.5425,0.16356666666666667,0
109,2011-04-19,summer,2011,April,No Holiday,Tuesday,Working Day,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,0.12765293383270912,0.8723470661672909,3204,409,2795,0.5058333333333334,0.6658333333333334,0.15797083333333334,0
110,2011-04-20,summer,2011,April,No Holiday,Wednesday,Working Day,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,0.15542596348884383,0.8445740365111561,3944,613,3331,0.595,0.6141666666666666,0.24192500000000003,0
111,2011-04-21,summer,2011,April,No Holiday,Thursday,Working Day,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,0.1778467414657436,0.8221532585342564,4189,745,3444,0.45916666666666667,0.4070833333333333,0.32525833333333337,0
112,2011-04-22,summer,2011,April,No Holiday,Friday,Working Day,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,0.1051693404634581,0.8948306595365418,1683,177,1506,0.33666666666666667,0.7295833333333334,0.2195208333333333,0
113,2011-04-23,summer,2011,April,No Holiday,Saturday,Non-Working Day,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,0.3622398414271556,0.6377601585728444,4036,1462,2574,0.46,0.8879166666666666,0.23072499999999999,0
114,2011-04-24,summer,2011,April,No Holiday,Sunday,Non-Working Day,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,0.408017179670723,0.5919828203292771,4191,1710,2481,0.5816666666666667,0.8108333333333334,0.19217499999999998,0
115,2011-04-25,summer,2011,April,No Holiday,Monday,Working Day,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,0.18978639823226123,0.8102136017677388,4073,773,3300,0.6066666666666667,0.7766666666666667,0.18533333333333335,0
116,2011-04-26,summer,2011,April,No Holiday,Tuesday,Working Day,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0.15409090909090908,0.8459090909090909,4400,678,3722,0.6316666666666667,0.7291666666666666,0.3265,0
117,2011-04-27,summer,2011,April,No Holiday,Wednesday,Working Day,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,0.1412706611570248,0.8587293388429752,3872,547,3325,0.62,0.8354166666666667,0.3122,0
118,2011-04-28,summer,2011,April,No Holiday,Thursday,Working Day,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,0.1402168555938886,0.8597831444061114,4058,569,3489,0.6175,0.7008333333333333,0.32090833333333335,0
